name,mode,reranker_enabled,hit_rate_at_k,mrr,context_precision,refusal_accuracy,latency_p50_ms,latency_p95_ms
vector_only,vector_only,False,0.9,0.9,0.9,1.0,2.416,4.483
hybrid,hybrid,False,1.0,1.0,1.0,1.0,2.272,2.548
hybrid_rerank,hybrid,True,1.0,1.0,1.0,1.0,2.423,4.178
